,lcID,lcEta,lcPhi,lcX,lcY,lcZ,lcLayer,lcEnergy,lcToTrack1,lcToTrack2,lcToTrack3,isSeed
0,0.0,1.8724122047424316,2.3109207153320312,-68.41331481933594,74.90636444091797,322.1027526855469,1.0,0.09405995160341263,1.0,-1.0,-1.0,0.0
1,1.0,1.8941075801849365,2.3177263736724854,-67.3730697631836,72.76663208007812,322.1027526855469,1.0,0.2652425169944763,1.0,-1.0,-1.0,0.0
2,2.0,1.848792552947998,2.340383529663086,-72.57434844970703,74.90636444091797,323.0472717285156,2.0,0.06147422641515732,1.0,-1.0,-1.0,0.0
3,3.0,1.8836427927017212,2.3185763359069824,-68.37760925292969,73.72579193115234,323.0472717285156,2.0,0.9186756014823914,1.0,-1.0,-1.0,0.0
4,4.0,1.7001208066940308,-0.8073623180389404,84.41390228271484,-88.20596313476562,323.0472717285156,2.0,0.01941291056573391,0.0,-1.0,-1.0,0.0
5,5.0,1.6117818355560303,-0.7407795786857605,99.07746887207031,-90.60833740234375,323.0472717285156,2.0,0.04282855987548828,0.0,-1.0,-1.0,0.0
6,6.0,1.8864039182662964,2.286931276321411,-66.2328109741211,76.1075439453125,325.07275390625,3.0,0.028310496360063553,1.0,-1.0,-1.0,1.0
7,7.0,1.8442548513412476,2.3435051441192627,-73.61459350585938,75.5069580078125,325.07275390625,3.0,0.029119368642568588,1.0,-1.0,-1.0,0.0
8,8.0,1.887599229812622,2.3157737255096436,-68.31453704833984,74.07308197021484,325.07275390625,3.0,1.6873054504394531,1.0,-1.0,-1.0,0.0
9,9.0,1.7714494466781616,2.348576068878174,-79.9061279296875,81.13300323486328,325.07275390625,3.0,0.06470970809459686,1.0,-1.0,-1.0,0.0
10,10.0,1.6971709728240967,-0.8046337366104126,85.45415496826172,-88.80657196044922,325.07275390625,3.0,0.47379639744758606,0.0,-1.0,-1.0,0.0
11,11.0,1.6256698369979858,-0.7427244186401367,98.0372085571289,-90.00775146484375,325.07275390625,3.0,0.024781305342912674,0.0,-1.0,-1.0,0.0
12,12.0,1.6359120607376099,-0.7995612025260925,91.74568939208984,-94.38199615478516,325.07275390625,3.0,0.043367281556129456,0.0,-1.0,-1.0,0.0
13,13.0,1.5573151111602783,-0.7123691439628601,108.48976135253906,-93.69789123535156,325.07275390625,3.0,0.08323286473751068,0.0,-1.0,-1.0,0.0
14,14.0,1.8999900817871094,2.28301739692688,-65.19255828857422,75.5069580078125,326.0173034667969,4.0,0.04206131026148796,1.0,-1.0,-1.0,0.0
15,15.0,1.9114081859588623,2.3676247596740723,-70.49383544921875,68.90044403076172,326.0173034667969,4.0,0.09585125744342804,1.0,-1.0,-1.0,0.0
16,16.0,1.8870573043823242,2.3131918907165527,-68.3597640991211,74.50721740722656,326.0173034667969,4.0,4.719764232635498,1.0,-1.0,-1.0,0.0
17,17.0,1.8388540744781494,2.2311551570892334,-65.24256134033203,84.0018310546875,326.0173034667969,4.0,0.06673188507556915,1.0,-1.0,-1.0,0.0
