,i,j,k,x,y,z,layer,energy,LCID,TrkId
0,2.0,45.0,5.0,-76.73536682128906,77.30873107910156,343.8372497558594,16.0,0.0574312433600425,297.0,0.0
1,2.0,45.0,5.0,-76.73536682128906,76.1075439453125,346.8072509765625,18.0,0.0675423666834831,352.0,0.0
2,2.0,45.0,5.0,-79.85613250732422,77.90931701660156,348.832763671875,19.0,0.0230533834546804,376.0,0.0
3,2.0,46.0,6.0,-73.70061492919922,79.68873596191406,348.832763671875,19.0,1.2905850410461426,379.0,1.0
4,2.0,46.0,6.0,-73.7877426147461,80.191650390625,351.8027648925781,21.0,0.5912991166114807,427.0,1.0
5,2.0,46.0,6.0,-73.58500671386719,81.07380676269531,352.7472839355469,22.0,0.3263874053955078,448.0,1.0
6,2.0,46.0,7.0,-73.58500671386719,81.07380676269531,352.7472839355469,22.0,0.3263874053955078,448.0,2.0
7,2.0,46.0,7.0,-74.41481018066406,80.98400115966797,354.7727355957031,23.0,0.1989870965480804,469.0,2.0
8,2.0,46.0,7.0,-75.15802001953125,80.80555725097656,355.7172546386719,24.0,0.4863454699516296,490.0,2.0
9,2.0,46.0,7.0,-74.0704116821289,80.92870330810547,357.7427673339844,25.0,0.0930224284529686,509.0,2.0
10,2.0,46.0,8.0,-74.0704116821289,80.92870330810547,357.7427673339844,25.0,0.0930224284529686,509.0,3.0
11,2.0,46.0,8.0,-73.5645980834961,82.80065155029297,358.687255859375,26.0,0.0299289524555206,529.0,3.0
12,2.0,46.0,8.0,-76.78535461425781,82.2000503540039,360.7127685546875,27.0,0.0566223450005054,544.0,3.0
13,2.0,47.0,5.0,-78.86587524414062,84.60242462158203,343.8372497558594,16.0,0.0242667198181152,303.0,4.0
14,2.0,47.0,5.0,-79.9061279296875,84.0018310546875,345.8627624511719,17.0,0.0190089307725429,337.0,4.0
15,2.0,47.0,5.0,-78.86587524414062,83.4012451171875,348.832763671875,19.0,0.0388267561793327,385.0,4.0
16,3.0,44.0,4.0,-72.80203247070312,72.63545227050781,339.9227600097656,13.0,0.0473189763724803,204.0,5.0
17,3.0,44.0,4.0,-71.53408813476562,72.37963104248047,342.8927917480469,15.0,0.0412534214556217,263.0,5.0
18,3.0,44.0,4.0,-70.96708679199219,72.77723693847656,343.8372497558594,16.0,0.0436800979077816,299.0,5.0
19,3.0,45.0,0.0,-68.37760925292969,73.72579193115234,323.0472717285156,2.0,0.9186756014823914,3.0,6.0
20,3.0,45.0,0.0,-68.31453704833984,74.07308197021484,325.07275390625,3.0,1.6873054504394531,8.0,6.0
21,3.0,45.0,0.0,-68.3597640991211,74.50721740722656,326.0173034667969,4.0,4.719764232635498,16.0,6.0
22,3.0,45.0,1.0,-68.3597640991211,74.50721740722656,326.0173034667969,4.0,4.719764232635498,16.0,7.0
23,3.0,45.0,1.0,-68.92829132080078,74.85899353027344,328.0427551269531,5.0,7.197943687438965,27.0,7.0
24,3.0,45.0,1.0,-69.25785827636719,75.18685150146484,328.9872741699219,6.0,8.78494930267334,36.0,7.0
25,3.0,45.0,1.0,-69.45358276367188,75.48196411132812,331.0127258300781,7.0,10.997010231018066,52.0,7.0
26,3.0,45.0,2.0,-69.45358276367188,75.48196411132812,331.0127258300781,7.0,10.997010231018066,52.0,8.0
27,3.0,45.0,2.0,-69.65948486328125,75.8134536743164,331.9572448730469,8.0,10.384695053100586,72.0,8.0
28,3.0,45.0,2.0,-70.00936889648438,76.17747497558594,333.9827575683594,9.0,12.641042709350586,94.0,8.0
29,3.0,45.0,2.0,-70.30612182617188,76.49851989746094,334.92724609375,10.0,11.11727523803711,115.0,8.0
30,3.0,45.0,3.0,-70.30612182617188,76.49851989746094,334.92724609375,10.0,11.11727523803711,115.0,9.0
31,3.0,45.0,3.0,-70.82205200195312,76.82241821289062,336.9527587890625,11.0,9.923120498657228,144.0,9.0
32,3.0,45.0,3.0,-70.98928833007812,77.28118133544922,337.8972473144531,12.0,9.141864776611328,174.0,9.0
33,3.0,45.0,3.0,-71.3091049194336,77.6008529663086,339.9227600097656,13.0,9.703827857971191,205.0,9.0
34,3.0,45.0,4.0,-71.3091049194336,77.6008529663086,339.9227600097656,13.0,9.703827857971191,205.0,10.0
35,3.0,45.0,4.0,-71.71155548095703,77.96541595458984,340.8672180175781,14.0,5.9131927490234375,234.0,10.0
36,3.0,45.0,4.0,-71.969482421875,78.2921371459961,342.8927917480469,15.0,4.879632472991943,264.0,10.0
37,3.0,45.0,4.0,-72.52137756347656,78.39923858642578,343.8372497558594,16.0,4.630898475646973,298.0,10.0
38,3.0,46.0,2.0,-65.19255828857422,77.90931701660156,331.0127258300781,7.0,0.0242661386728286,47.0,11.0
39,3.0,46.0,2.0,-66.2828140258789,79.79769134521484,333.9827575683594,9.0,0.0181996058672666,97.0,11.0
40,3.0,46.0,2.0,-65.24256134033203,79.19710540771484,334.92724609375,10.0,0.015765743330121,118.0,11.0
41,3.0,46.0,3.0,-65.24256134033203,79.19710540771484,334.92724609375,10.0,0.015765743330121,118.0,12.0
42,3.0,46.0,3.0,-65.24256134033203,79.19710540771484,337.8972473144531,12.0,0.0161774270236492,178.0,12.0
43,3.0,46.0,3.0,-66.2828140258789,79.79769134521484,339.9227600097656,13.0,0.0323548540472984,210.0,12.0
44,3.0,46.0,4.0,-71.3091049194336,77.6008529663086,339.9227600097656,13.0,9.703827857971191,205.0,13.0
45,3.0,46.0,4.0,-71.71155548095703,77.96541595458984,340.8672180175781,14.0,5.9131927490234375,234.0,13.0
46,3.0,46.0,4.0,-71.969482421875,78.2921371459961,342.8927917480469,15.0,4.879632472991943,264.0,13.0
47,3.0,46.0,4.0,-72.52137756347656,78.39923858642578,343.8372497558594,16.0,4.630898475646973,298.0,13.0
48,3.0,46.0,4.0,-66.2828140258789,79.79769134521484,339.9227600097656,13.0,0.0323548540472984,210.0,14.0
49,3.0,46.0,4.0,-68.36332702636719,80.3779525756836,342.8927917480469,15.0,0.0760357230901718,267.0,14.0
50,3.0,46.0,4.0,-67.67816925048828,78.99208068847656,343.8372497558594,16.0,0.0910001993179321,301.0,14.0
51,3.0,46.0,5.0,-72.52137756347656,78.39923858642578,343.8372497558594,16.0,4.630898475646973,298.0,15.0
52,3.0,46.0,5.0,-72.57434844970703,78.10083770751953,345.8627624511719,17.0,2.6252546310424805,330.0,15.0
53,3.0,46.0,5.0,-72.88973236083984,79.00027465820312,346.8072509765625,18.0,1.8814797401428225,353.0,15.0
54,3.0,46.0,5.0,-73.70061492919922,79.68873596191406,348.832763671875,19.0,1.2905850410461426,379.0,15.0
55,3.0,46.0,5.0,-67.67816925048828,78.99208068847656,343.8372497558594,16.0,0.0910001993179321,301.0,16.0
56,3.0,46.0,5.0,-67.32305908203125,79.19710540771484,346.8072509765625,18.0,0.0295245070010423,355.0,16.0
57,3.0,46.0,5.0,-67.32305908203125,79.19710540771484,348.832763671875,19.0,0.0307378470897674,384.0,16.0
58,3.0,46.0,6.0,-73.70061492919922,79.68873596191406,348.832763671875,19.0,1.2905850410461426,379.0,17.0
59,3.0,46.0,6.0,-73.7877426147461,80.191650390625,351.8027648925781,21.0,0.5912991166114807,427.0,17.0
60,3.0,46.0,6.0,-73.58500671386719,81.07380676269531,352.7472839355469,22.0,0.3263874053955078,448.0,17.0
61,3.0,46.0,7.0,-73.58500671386719,81.07380676269531,352.7472839355469,22.0,0.3263874053955078,448.0,18.0
62,3.0,46.0,7.0,-74.41481018066406,80.98400115966797,354.7727355957031,23.0,0.1989870965480804,469.0,18.0
63,3.0,46.0,7.0,-72.52433776855469,80.9988784790039,355.7172546386719,24.0,0.0723957121372222,491.0,18.0
64,3.0,46.0,7.0,-74.0704116821289,80.92870330810547,357.7427673339844,25.0,0.0930224284529686,509.0,18.0
65,3.0,47.0,4.0,-70.30860900878906,83.97308349609375,339.9227600097656,13.0,0.086549237370491,208.0,19.0
66,3.0,47.0,4.0,-69.40357971191406,83.21073150634766,340.8672180175781,14.0,0.0408489815890789,238.0,19.0
67,3.0,47.0,4.0,-71.17474365234375,85.0244140625,342.8927917480469,15.0,0.0513645559549331,266.0,19.0
68,3.0,47.0,4.0,-72.86670684814453,85.20052337646484,343.8372497558594,16.0,0.0533867850899696,300.0,19.0
69,3.0,47.0,7.0,-70.93389892578125,83.68417358398438,352.7472839355469,22.0,0.0351867452263832,451.0,20.0
70,3.0,47.0,7.0,-69.40357971191406,85.20301818847656,355.7172546386719,24.0,0.0291200615465641,492.0,20.0
71,3.0,47.0,7.0,-70.44383239746094,84.60242462158203,357.7427673339844,25.0,0.0546001233160495,510.0,20.0
72,20.0,7.0,4.0,74.95160675048828,-87.60537719726562,339.9227600097656,13.0,0.0198173485696315,212.0,21.0
73,20.0,7.0,4.0,73.9113540649414,-88.20596313476562,340.8672180175781,14.0,0.0461067669093608,241.0,21.0
74,20.0,7.0,4.0,76.09185791015625,-87.00479125976562,342.8927917480469,15.0,0.0469156615436077,271.0,21.0
75,21.0,4.0,4.0,89.66517639160156,-100.9049835205078,340.8672790527344,14.0,0.0115828430280089,254.0,22.0
76,21.0,4.0,4.0,88.62492370605469,-101.50558471679688,342.8927307128906,15.0,0.0334016866981983,284.0,22.0
77,21.0,4.0,4.0,88.62492370605469,-100.3043975830078,343.8372497558594,16.0,0.0498331598937511,320.0,22.0
78,21.0,4.0,5.0,88.62492370605469,-100.3043975830078,343.8372497558594,16.0,0.0498331598937511,320.0,23.0
79,21.0,4.0,5.0,89.66517639160156,-99.70380401611328,346.8072509765625,18.0,0.0215494763106107,367.0,23.0
80,21.0,4.0,5.0,88.62492370605469,-101.50558471679688,348.832763671875,19.0,0.0161621086299419,395.0,23.0
81,21.0,4.0,5.0,83.32363891601562,-99.70380401611328,345.8627624511719,17.0,0.0202026329934597,343.0,24.0
82,21.0,4.0,5.0,82.28339385986328,-99.10321807861328,346.8072509765625,18.0,0.0080810543149709,364.0,24.0
83,21.0,4.0,5.0,82.28339385986328,-101.50558471679688,348.832763671875,19.0,0.0161621086299419,392.0,24.0
84,21.0,4.0,6.0,82.28339385986328,-101.50558471679688,348.832763671875,19.0,0.0161621086299419,392.0,25.0
85,21.0,4.0,6.0,82.95341491699219,-99.49005889892578,349.7772521972656,20.0,0.0619547441601753,419.0,25.0
86,21.0,4.0,6.0,83.32363891601562,-102.1061782836914,351.8027648925781,21.0,0.0350178964436054,436.0,25.0
87,21.0,5.0,1.0,88.62492370605469,-95.49967193603516,326.0172424316406,4.0,0.0096970321610569,23.0,26.0
88,21.0,5.0,1.0,86.5444107055664,-95.49967193603516,328.9872741699219,6.0,0.0145455496385693,43.0,26.0
89,21.0,5.0,1.0,87.58465576171875,-96.10025787353516,331.0127868652344,7.0,0.0721890181303024,64.0,26.0
90,21.0,5.0,2.0,87.58465576171875,-96.10025787353516,331.0127868652344,7.0,0.0721890181303024,64.0,27.0
