,lcID,lcEta,lcPhi,lcX,lcY,lcZ,lcLayer,lcToTrack1,lcToTrack2,lcToTrack3,isSeed
0,0.0,1.8773670196533203,1.5531206130981445,1.7837588787078857,100.90499877929688,322.1027526855469,1.0,1.0,-1.0,-1.0,0.0
1,1.0,1.8907419443130493,1.47957444190979,9.065542221069336,99.10321807861328,322.1027526855469,1.0,1.0,-1.0,-1.0,0.0
2,2.0,1.907139778137207,1.4673066139221191,10.10579776763916,97.30143737792969,322.1027526855469,1.0,1.0,-1.0,-1.0,0.0
3,3.0,1.823996901512146,3.1359825134277344,-107.05274963378906,0.6005914211273193,323.0472717285156,2.0,0.0,-1.0,-1.0,0.0
4,4.0,1.778244972229004,3.1415927410125732,-112.35403442382812,0.0,323.0472717285156,2.0,0.0,-1.0,-1.0,0.0
5,5.0,1.803547978401184,3.0803675651550293,-109.18325805664062,6.693108081817627,323.0472717285156,2.0,0.0,-1.0,-1.0,0.0
6,6.0,1.9626140594482422,1.5070933103561401,5.894778251647949,92.41011047363281,323.0472717285156,2.0,1.0,-1.0,-1.0,0.0
7,7.0,1.9262032508850098,1.5306072235107422,3.864267110824585,96.10025787353516,323.0472717285156,2.0,1.0,-1.0,-1.0,0.0
8,8.0,1.8935397863388062,1.47957444190979,9.065543174743652,99.10321807861328,323.0472717285156,2.0,1.0,-1.0,-1.0,0.0
9,9.0,1.7297650575637817,3.034029483795166,-117.60530853271484,12.699024200439453,323.0472717285156,2.0,0.0,-1.0,-1.0,0.0
10,10.0,1.8207073211669922,3.1304805278778076,-108.093017578125,1.2011829614639282,325.07275390625,3.0,0.0,-1.0,-1.0,0.0
11,11.0,1.8851200342178345,3.076152801513672,-100.81122589111328,6.606505870819092,325.07275390625,3.0,0.0,-1.0,-1.0,0.0
12,12.0,1.9264733791351318,1.7374578714370728,-16.05057716369629,95.4130630493164,325.07275390625,3.0,1.0,-1.0,-1.0,0.0
13,13.0,1.8976898193359375,1.4789683818817139,9.143040657043457,99.28704071044922,325.07275390625,3.0,1.0,-1.0,-1.0,0.0
14,14.0,1.8610117435455322,1.4692890644073486,10.499466896057129,103.08006286621094,325.07275390625,3.0,1.0,-1.0,-1.0,0.0
15,15.0,1.8827271461486816,1.656988263130188,-8.718791961669922,100.90498352050781,325.07275390625,3.0,1.0,-1.0,-1.0,0.0
16,16.0,1.8364722728729248,1.5843126773834229,-1.437009334564209,106.31031036376953,325.07275390625,3.0,1.0,-1.0,-1.0,0.0
17,17.0,1.6642951965332031,3.1350953578948975,-127.66143035888672,0.8294726014137268,325.07275390625,3.0,0.0,-1.0,-1.0,0.0
18,18.0,2.0169026851654053,-3.093977928161621,-88.2281723022461,-4.2041401863098145,326.0173034667969,4.0,0.0,-1.0,-1.0,0.0
19,19.0,1.8234609365463257,3.1304805278778076,-108.093017578125,1.2011829614639282,326.0173034667969,4.0,0.0,-1.0,-1.0,0.0
20,20.0,1.832329273223877,3.113548755645752,-107.05274963378906,3.002957344055176,326.0173034667969,4.0,0.0,-1.0,-1.0,0.0
21,21.0,1.7517796754837036,-3.10037899017334,-116.51505279541016,-4.804731369018555,326.0173034667969,4.0,0.0,-1.0,-1.0,0.0
22,22.0,1.7866770029067993,3.120213747024536,-112.35403442382812,2.4023656845092773,326.0173034667969,4.0,0.0,-1.0,-1.0,0.0
23,23.0,1.812862753868103,3.103123903274536,-109.23326110839844,4.2041401863098145,326.0173034667969,4.0,0.0,-1.0,-1.0,0.0
24,24.0,1.9376004934310913,2.970795154571533,-94.51969909667969,16.30257225036621,326.0173034667969,4.0,0.0,-1.0,-1.0,0.0
25,25.0,1.8107203245162964,3.0584797859191895,-109.18325805664062,9.095475196838379,326.0173034667969,4.0,0.0,-1.0,-1.0,0.0
26,26.0,1.8947279453277588,1.563383936882019,0.7435035109519958,100.30439758300781,326.0173034667969,4.0,1.0,-1.0,-1.0,0.0
27,27.0,1.923659086227417,1.5203791856765747,4.904521942138672,97.19651794433594,326.0173034667969,4.0,1.0,-1.0,-1.0,0.0
28,28.0,1.944402813911438,1.4864305257797241,8.025286674499512,94.89907836914062,326.0173034667969,4.0,1.0,-1.0,-1.0,0.0
29,29.0,1.84197199344635,1.495023488998413,8.025290489196777,105.709716796875,326.0173034667969,4.0,1.0,-1.0,-1.0,0.0
30,30.0,1.8924061059951782,1.4808076620101929,9.036258697509766,100.14430236816406,326.0173034667969,4.0,1.0,-1.0,-1.0,0.0
31,31.0,1.8004295825958252,1.5175490379333496,5.894778251647949,110.6010513305664,326.0173034667969,4.0,1.0,-1.0,-1.0,0.0
